Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (2.33) + residual
Denmark,Western Europe,7.526,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186,2.739390373
Switzerland,Western Europe,7.509,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,2.694632053
Iceland,Western Europe,7.501,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416,2.831373215
Norway,Western Europe,7.498,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,2.664645195
Finland,Western Europe,7.413,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825964928
Canada,North America and ANZ,7.404,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,2.704854488
Netherlands,Western Europe,7.339,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,2.707485199
New Zealand,North America and ANZ,7.334,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,2.475531578
Australia,North America and ANZ,7.313,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,2.546504498
Sweden,Western Europe,7.291,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,2.547340393
Israel,Middle East and North Africa,7.267,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,3.310285568
Austria,Western Europe,7.119,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,2.69342804
United States,North America and ANZ,7.104,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056,2.727815151
Costa Rica,Latin America and Caribbean,7.087,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,3.351676702
Puerto Rico,Latin America and Caribbean,7.039,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629,3.007603168
Germany,Western Europe,6.994,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,2.509305954
Brazil,Latin America and Caribbean,6.952,1.08754158,1.039377689,0.61415261,0.404254824,0.157763064,0.141658947,3.507328749
Belgium,Western Europe,6.929,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,2.613553524
Ireland,Western Europe,6.907,1.483413577,1.161568046,0.814548731,0.540084302,0.449628145,0.29753685,2.159881592
Luxembourg,Western Europe,6.871,1.69752419,1.039993048,0.845419347,0.548702359,0.275711238,0.353293061,2.110549927
Mexico,Latin America and Caribbean,6.778,1.115080833,0.714603782,0.711434186,0.377086431,0.117354617,0.183547229,3.559059143
Singapore,Southeast Asia,6.739,1.645546436,0.867575824,0.947188199,0.48769936,0.327062637,0.469869375,1.993745804
United Kingdom,Western Europe,6.725,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618,2.149994373
Chile,Latin America and Caribbean,6.705,1.216696262,0.905871034,0.818833172,0.377893388,0.315953463,0.114507757,2.955049753
Panama,Latin America and Caribbean,6.701,1.183057308,0.989121318,0.708346546,0.489274472,0.241801292,0.084229752,3.005592108
Argentina,Latin America and Caribbean,6.65,1.15136528,1.06612432,0.697112739,0.422835112,0.109889276,0.072960153,3.129847288
Czech Republic,Central and Eastern Europe,6.596,1.309153438,1.007931709,0.763755083,0.41417706,0.099286601,0.03985557,2.96211338
United Arab Emirates,Middle East and North Africa,6.573,1.573521495,0.871136844,0.729932189,0.56214571,0.265909791,0.355612397,2.215071678
Uruguay,Latin America and Caribbean,6.545,1.181572676,1.031425357,0.721826971,0.543876708,0.180556223,0.213936999,2.671386957
Malta,Western Europe,6.488,1.307815313,1.098792076,0.803154051,0.549941838,0.56236583,0.17554386,1.990321636
Colombia,Latin America and Caribbean,6.481,1.030316114,1.021694183,0.596591532,0.447348237,0.156259283,0.053988829,3.174712181
France,Western Europe,6.478,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,2.474404812
Thailand,Southeast Asia,6.474,1.08929646,1.044767976,0.649153352,0.495529205,0.586960733,0.028332459,2.579596519
Saudi Arabia,Middle East and North Africa,6.379,1.489526391,0.848290741,0.592667282,0.379041046,0.154574409,0.300076246,2.61481595
Taiwan,East Asia,6.379,1.397285581,0.926242232,0.795653343,0.323774934,0.254951417,0.066301078,2.615226507
Qatar,Middle East and North Africa,6.375,1.824265599,0.879637301,0.717229843,0.566785216,0.323877066,0.480493426,1.582241058
Spain,Western Europe,6.361,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,2.396626711
Algeria,Middle East and North Africa,6.355,1.052660227,0.83308512,0.618043005,0.210056841,0.070441589,0.161569893,3.409041882
Guatemala,Latin America and Caribbean,6.324,0.834544599,0.871189952,0.540386319,0.503786147,0.288083464,0.087014526,3.198634386
Suriname,Latin America and Caribbean,6.269,1.096858859,0.778662622,0.50933373,0.522341907,0.166648671,0.12692143,3.068519354
Kuwait,Middle East and North Africa,6.239,1.617141366,0.877582967,0.635688484,0.431660771,0.159652606,0.236691728,2.280853748
Bahrain,Middle East and North Africa,6.218,1.440244079,0.94396764,0.656957924,0.473753095,0.171470031,0.257721454,2.27405262
Trinidad and Tobago,Latin America and Caribbean,6.168,1.325716496,0.985685587,0.526080966,0.484528571,0.319347799,0.012409157,2.513938427
Venezuela,Latin America and Caribbean,6.084,1.133673549,1.033022523,0.619042635,0.198472604,0.042504366,0.083041303,2.974676609
Slovakia,Central and Eastern Europe,6.078,1.279725552,1.082675695,0.703670502,0.233906135,0.138371661,0.029473193,2.610646963
El Salvador,Latin America and Caribbean,6.068,0.87369591,0.809750974,0.59600395,0.372685879,0.088773847,0.106125608,3.221339464
Malaysia,Southeast Asia,6.005,1.251420617,0.880245805,0.623655319,0.390308052,0.414735854,0.090813398,2.353841066
Nicaragua,Latin America and Caribbean,5.992,0.693838418,0.895209551,0.652131021,0.465823591,0.297732264,0.162916645,2.824278116
Uzbekistan,Commonwealth of Independent States,5.987,0.735912979,1.168096423,0.50163275,0.60848254,0.343264252,0.283327252,2.346381187
Italy,Western Europe,5.977,1.354946852,1.041667461,0.851017892,0.188266635,0.166838825,0.02555649,2.349183321
Ecuador,Latin America and Caribbean,5.976,0.973064899,0.859740674,0.686129689,0.402699977,0.100736052,0.180371672,2.773657322
Belize,Latin America and Caribbean,5.956,0.876162708,0.686545849,0.455687672,0.512311637,0.236840621,0.1077113,3.080386639
Japan,East Asia,5.921,1.38007319,1.060541987,0.914910614,0.467606604,0.102243334,0.189853474,1.805840492
Kazakhstan,Commonwealth of Independent States,5.919,1.229428291,0.955435932,0.573857725,0.40520218,0.150109679,0.111316212,2.493252516
Moldova,Commonwealth of Independent States,5.897,0.691769421,0.831317425,0.523085415,0.252024621,0.199973464,0.019030778,3.380071402
Russia,Commonwealth of Independent States,5.856,1.232281923,1.052608132,0.589905679,0.326817214,0.02736127,0.035856802,2.591154575
Poland,Central and Eastern Europe,5.835,1.245846987,1.04684782,0.690581024,0.45190239,0.144434735,0.054995816,2.200353146
South Korea,East Asia,5.835,1.359476805,0.721935272,0.886448503,0.251680881,0.188236162,0.077156268,2.350147247
Bolivia,Latin America and Caribbean,5.822,0.79421556,0.837788463,0.469702065,0.509607852,0.216978401,0.077457048,2.916349411
Lithuania,Central and Eastern Europe,5.813,1.269200087,1.064109921,0.646744013,0.18928887,0.020247009,0.018196519,2.605252981
Belarus,Commonwealth of Independent States,5.802,1.130622387,1.049929738,0.631036282,0.290910363,0.139418796,0.174569637,2.38581562
North Cyprus,Western Europe,5.771,1.311412096,0.81825912,0.841418028,0.435961962,0.263217747,0.165783241,1.934473753
Slovenia,Central and Eastern Europe,5.768,1.29946506,1.056134582,0.791508019,0.531639218,0.257384598,0.036349814,1.795216084
Peru,Latin America and Caribbean,5.743,0.996017814,0.812553644,0.629942834,0.375016838,0.145270541,0.052919939,2.731174469
Turkmenistan,Commonwealth of Independent States,5.658,1.080170751,1.038174391,0.440057486,0.374077529,0.225665107,0.284671992,2.214894772
Mauritius,Sub-Saharan Africa,5.648,1.143722653,0.7569502,0.661886156,0.46144712,0.369510621,0.052029993,2.202233315
Libya,Middle East and North Africa,5.615,1.066875935,0.950764835,0.523042977,0.406719416,0.170868352,0.103392102,2.393740892
Latvia,Central and Eastern Europe,5.56,1.217876792,0.950254142,0.639524221,0.279956311,0.174453154,0.088895261,2.208589554
Cyprus,Western Europe,5.546,1.318565488,0.706973851,0.848804116,0.295066029,0.279059798,0.052277435,2.04497242
Paraguay,Latin America and Caribbean,5.538,0.893729806,1.111106753,0.582954884,0.46235162,0.252958059,0.073959857,2.160905838
Romania,Central and Eastern Europe,5.528,1.169700027,0.728026032,0.67602092,0.367121756,0.128893197,0.006788756,2.45184207
Estonia,Central and Eastern Europe,5.517,1.279636979,1.051626801,0.680980504,0.415114403,0.084225267,0.185190409,1.819848537
Jamaica,Latin America and Caribbean,5.51,0.893330693,0.963718593,0.5946877,0.435969591,0.222449809,0.042939641,2.356820822
Croatia,Central and Eastern Europe,5.488,1.186485887,0.608087182,0.705240667,0.239070639,0.184344918,0.040024605,2.524619102
Hong Kong,East Asia,5.458,1.510701537,0.870208204,0.952773213,0.480789185,0.400968164,0.316466331,0.926144123
Somalia,Sub-Saharan Africa,5.44,,0.336134076,0.114662275,0.567781329,0.272246689,0.311798036,3.837715149
Kosovo,Central and Eastern Europe,5.401,0.901451945,0.660622716,0.540003181,0.143963769,0.279919446,0.065471202,2.809975386
Turkey,Middle East and North Africa,5.389,1.164921641,0.87717098,0.647183418,0.238888025,0.0470687,0.123479202,2.29074049
Indonesia,Southeast Asia,5.314,0.951040626,0.87625128,0.493741304,0.392365605,0.565213919,0.003222997,2.031708479
Jordan,Middle East and North Africa,5.303,0.996726453,0.862160563,0.607119262,0.360229939,0.142622128,0.132970601,2.201416969
Azerbaijan,Commonwealth of Independent States,5.291,1.123732328,0.76042366,0.545036376,0.353265971,0.056396302,0.179136723,2.273498297
Philippines,Southeast Asia,5.279,0.812171459,0.87877202,0.470356584,0.548538148,0.216740772,0.117567897,2.234841585
China,East Asia,5.245,1.027797103,0.793808103,0.735614955,0.440123588,0.049588207,0.027451765,2.170866013
Bhutan,South Asia,5.196,0.85269922,0.908361614,0.497591704,0.460738599,0.485455036,0.161598593,1.829161882
Kyrgyzstan,Commonwealth of Independent States,5.185,0.560443997,0.954338312,0.554490626,0.402119219,0.384315312,0.047621343,2.281357288
Serbia,Central and Eastern Europe,5.177,1.034370899,0.813292861,0.645801246,0.157181978,0.20736517,0.043391395,2.27538991
Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93382591,0.643669307,0.707662225,0.095113359,0.298890561,,2.484057665
Montenegro,Central and Eastern Europe,5.161,1.078377247,0.741729081,0.635325789,0.151106626,0.171912715,0.12721251,2.255313873
Dominican Republic,Latin America and Caribbean,5.155,1.027870893,0.994959295,0.576689005,0.522585511,0.212857142,0.12371701,1.696260691
Morocco,Middle East and North Africa,5.151,0.840575635,0.385954618,0.594714701,0.256462544,0.040528033,0.084042557,2.948912144
Hungary,Central and Eastern Europe,5.145,1.241419196,0.9316383,0.676083803,0.197703317,0.098998934,0.044721223,1.954733133
Pakistan,South Asia,5.132,0.688163638,0.261352569,0.403063834,0.146219745,0.311846018,0.138804361,3.182858944
